Commodity,Year,Attribute,Value
"Whole milk, per gallon",2000,Retail price-Dollars,2.78066666666667
"Whole milk, per gallon",2000,Farm value-Dollars,1.2302071943688
"Whole milk, per gallon",2000,Farm share-Percent,44.2414478914695
"Whole milk, per gallon",2001,Retail price-Dollars,2.88425
"Whole milk, per gallon",2001,Farm value-Dollars,1.45605745751627
"Whole milk, per gallon",2001,Farm share-Percent,50.4830530472835
"Whole milk, per gallon",2002,Retail price-Dollars,2.75725
"Whole milk, per gallon",2002,Farm value-Dollars,1.18164546271889
"Whole milk, per gallon",2002,Farm share-Percent,42.8559420697757
"Whole milk, per gallon",2003,Retail price-Dollars,2.76108333333333
"Whole milk, per gallon",2003,Farm value-Dollars,1.21513992370566
"Whole milk, per gallon",2003,Farm share-Percent,44.009534556086
"Whole milk, per gallon",2004,Retail price-Dollars,3.15591666666667
"Whole milk, per gallon",2004,Farm value-Dollars,1.51938895505503
"Whole milk, per gallon",2004,Farm share-Percent,48.1441405314366
"Whole milk, per gallon",2005,Retail price-Dollars,3.18683333333333
"Whole milk, per gallon",2005,Farm value-Dollars,1.4722748743622
"Whole milk, per gallon",2005,Farm share-Percent,46.1986781348945
"Whole milk, per gallon",2006,Retail price-Dollars,3.08133333333333
"Whole milk, per gallon",2006,Farm value-Dollars,1.25786697813471
"Whole milk, per gallon",2006,Farm share-Percent,40.8221650195168
"Whole milk, per gallon",2007,Retail price-Dollars,3.50325
"Whole milk, per gallon",2007,Farm value-Dollars,1.80516128256734
"Whole milk, per gallon",2007,Farm share-Percent,51.528189040672
"Whole milk, per gallon",2008,Retail price-Dollars,3.79533333333333
"Whole milk, per gallon",2008,Farm value-Dollars,1.80670799664434
"Whole milk, per gallon",2008,Farm share-Percent,47.6034076052435
"Whole milk, per gallon",2009,Retail price-Dollars,3.109
"Whole milk, per gallon",2009,Farm value-Dollars,1.23923604157623
"Whole milk, per gallon",2009,Farm share-Percent,39.8596346598979
"Whole milk, per gallon",2010,Retail price-Dollars,3.2585
"Whole milk, per gallon",2010,Farm value-Dollars,1.56924326453749
"Whole milk, per gallon",2010,Farm share-Percent,48.1584552566361
"Whole milk, per gallon",2011,Retail price-Dollars,3.57158333333333
"Whole milk, per gallon",2011,Farm value-Dollars,1.89520464765291
"Whole milk, per gallon",2011,Farm share-Percent,53.0634307189502
"Whole milk, per gallon",2012,Retail price-Dollars,3.4925
"Whole milk, per gallon",2012,Farm value-Dollars,1.75594099592872
"Whole milk, per gallon",2012,Farm share-Percent,50.2774801983886
"Whole milk, per gallon",2013,Retail price-Dollars,3.46191666666667
"Whole milk, per gallon",2013,Farm value-Dollars,1.8774634451861
"Whole milk, per gallon",2013,Farm share-Percent,54.2319075228877
"Whole milk, per gallon",2014,Retail price-Dollars,3.69366666666667
"Whole milk, per gallon",2014,Farm value-Dollars,2.25546582580763
"Whole milk, per gallon",2014,Farm share-Percent,61.0630581844859
"Whole milk, per gallon",2015,Retail price-Dollars,3.41875
"Whole milk, per gallon",2015,Farm value-Dollars,1.64700886091468
"Whole milk, per gallon",2015,Farm share-Percent,48.1757619280345
"Whole milk, per gallon",2016,Retail price-Dollars,3.20425
"Whole milk, per gallon",2016,Farm value-Dollars,1.50890329607784
"Whole milk, per gallon",2016,Farm share-Percent,47.0906856855066
"Whole milk, per gallon",2017,Retail price-Dollars,3.2255
"Whole milk, per gallon",2017,Farm value-Dollars,1.64919068294586
"Whole milk, per gallon",2017,Farm share-Percent,51.1297684993291
"Whole milk, per gallon",2018,Retail price-Dollars,2.89583333333333
"Whole milk, per gallon",2018,Farm value-Dollars,1.50850721657338
"Whole milk, per gallon",2018,Farm share-Percent,52.0923355363471
"Whole milk, per gallon",2019,Retail price-Dollars,3.03566666666667
"Whole milk, per gallon",2019,Farm value-Dollars,1.68996661778848
"Whole milk, per gallon",2019,Farm share-Percent,55.6703618465515
"Whole milk, per gallon",2020,Retail price-Dollars,3.31841666666667
"Whole milk, per gallon",2020,Farm value-Dollars,1.6966225290977
"Whole milk, per gallon",2020,Farm share-Percent,51.1274713070301
"Whole milk, per gallon",2021,Retail price-Dollars,3.5445
"Whole milk, per gallon",2021,Farm value-Dollars,1.68895306246498
"Whole milk, per gallon",2021,Farm share-Percent,47.6499664964023
"Whole milk, per gallon",2022,Retail price-Dollars,4.091
"Whole milk, per gallon",2022,Farm value-Dollars,2.26620178221209
"Whole milk, per gallon",2022,Farm share-Percent,55.3948125693496
